source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[soil type]	characteristics[land use]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[land use]
PXD003572-Site4	PXD003572-Site4	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	degraded grassland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_11	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_11.raw	degraded grassland
PXD003572-Site4	PXD003572-Site4	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	degraded grassland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_12	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_12.raw	degraded grassland
PXD003572-Site5	PXD003572-Site5	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	open shrubland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_13	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_13.raw	open shrubland
PXD003572-Site5	PXD003572-Site5	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	open shrubland	Southeast Spain	soil	20 cm	2	150109_NJ_FB_14	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_14.raw	open shrubland
PXD003572-Site5	PXD003572-Site5	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	open shrubland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_15	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_15.raw	open shrubland
PXD003572-Site6	PXD003572-Site6	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	semi-arid grassland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_16	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_16.raw	semi-arid grassland
PXD003572-Site6	PXD003572-Site6	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	semi-arid grassland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_17	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_17.raw	semi-arid grassland
PXD003572-Site6	PXD003572-Site6	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	semi-arid grassland	Southeast Spain	soil	20 cm	3	150109_NJ_FB_18	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_18.raw	semi-arid grassland
PXD003572-Site7	PXD003572-Site7	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	esparto grassland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_19	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_19.raw	esparto grassland
PXD003572-Site7	PXD003572-Site7	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	esparto grassland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_20	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_20.raw	esparto grassland
