source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[soil type]	characteristics[land use]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[land use]
PXD003572-Site14	PXD003572-Site14	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed pine woodland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_42	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_42.raw	mixed pine woodland
PXD003572-Site14	PXD003572-Site14	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed pine woodland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_43	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_43.raw	mixed pine woodland
PXD003572-Site15	PXD003572-Site15	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine forest	Southeast Spain	soil	20 cm	1	150109_NJ_FB_44	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_44.raw	pine forest
PXD003572-Site15	PXD003572-Site15	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine forest	Southeast Spain	soil	20 cm	2	141128_NJ_FB_45	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_45.raw	pine forest
PXD003572-Site15	PXD003572-Site15	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine forest	Southeast Spain	soil	20 cm	3	141128_NJ_FB_46	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_46.raw	pine forest
PXD003572-Site16	PXD003572-Site16	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed pine-oak forest	Southeast Spain	soil	20 cm	1	141128_NJ_FB_47	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_47.raw	mixed pine-oak forest
PXD003572-Site16	PXD003572-Site16	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed pine-oak forest	Southeast Spain	soil	20 cm	2	141128_NJ_FB_48	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_48.raw	mixed pine-oak forest
PXD003572-Site16	PXD003572-Site16	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed pine-oak forest	Southeast Spain	soil	20 cm	3	141128_NJ_FB_49	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_49.raw	mixed pine-oak forest
PXD003572-Site17	PXD003572-Site17	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	oak woodland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_50	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_50.raw	oak woodland
PXD003572-Site17	PXD003572-Site17	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	oak woodland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_51	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_51.raw	oak woodland
PXD003572-Site17	PXD003572-Site17	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	oak woodland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_52	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_52.raw	oak woodland
PXD003572-Site18	PXD003572-Site18	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	oak forest	Southeast Spain	soil	20 cm	1	141128_NJ_FB_53	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_53.raw	oak forest
PXD003572-Site18	PXD003572-Site18	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	oak forest	Southeast Spain	soil	20 cm	2	141128_NJ_FB_54	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_54.raw	oak forest
PXD003572-Site18	PXD003572-Site18	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	oak forest	Southeast Spain	soil	20 cm	3	141128_NJ_FB_55	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_55.raw	oak forest
PXD003572-Site19	PXD003572-Site19	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense oak forest	Southeast Spain	soil	20 cm	1	141128_NJ_FB_56	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_56.raw	dense oak forest
PXD003572-Site19	PXD003572-Site19	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense oak forest	Southeast Spain	soil	20 cm	2	141128_NJ_FB_57	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_57.raw	dense oak forest
PXD003572-Site19	PXD003572-Site19	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense oak forest	Southeast Spain	soil	20 cm	3	150109_NJ_FB_58	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_58.raw	dense oak forest
PXD003572-Site20	PXD003572-Site20	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense mixed forest	Southeast Spain	soil	20 cm	1	141128_NJ_FB_59	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_59.raw	dense mixed forest
PXD003572-Site20	PXD003572-Site20	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense mixed forest	Southeast Spain	soil	20 cm	2	141128_NJ_FB_60	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_60.raw	dense mixed forest
