source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
plasma membrane biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP1	OFJPA170717_03.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP2	OFJPA170717_06.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP3	OFJPA170717_09.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP4	OFJPA170717_12.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP1	OFJPA170717_15.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP2	OFJPA170717_18.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP3	OFJPA170717_21.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP4	OFJPA170717_24.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP1	OFJPA170717_27.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP2	OFJPA170717_30.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP3	OFJPA170717_33.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP4	OFJPA170717_34.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP1	OFJPA170717_36.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP2	OFJPA170717_38.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP3	OFJPA170717_40_2.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
plasma membrane biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	MP4	OFJPA170717_42_2.raw	plasma membrane	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW1	OFJPA170717_44.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW2	OFJPA170717_46.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW3	OFJPA170717_48.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW4	OFJPA170717_50.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW1	OFJPA170717_52.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW2	OFJPA170717_54.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW3	OFJPA170717_56.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW4	OFJPA170717_58.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW1	OFJPA170717_60.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW2	OFJPA170717_62.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW3	OFJPA170717_64.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW4	OFJPA170717_66.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW1	OFJPA170717_68.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW2	OFJPA170717_70.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW3	OFJPA170717_72.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
MMCW biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CW4	OFJPA170717_74.raw	mycomembrane-containing cell-wall	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP1	OFJPA170721_02.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP2	OFJPA170721_04.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP3	OFJPA170721_06.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP4	OFJPA170721_08.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP1	OFJPA170721_10.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP2	OFJPA170721_12.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP3	OFJPA170721_14.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP4	OFJPA170721_16.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP1	OFJPA170721_18.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP2	OFJPA170721_20.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP3	OFJPA170721_22.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP4	OFJPA170721_24.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP1	OFJPA170721_26.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP2	OFJPA170721_28.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP3	OFJPA170721_30.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
soluble proteins biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CP4	OFJPA170721_32.raw	cytosol and periplasm	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF1	OFJPA170721_34.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF2	OFJPA170721_36.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF3	OFJPA170721_38.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF4	OFJPA170721_40.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF1	OFJPA170721_42.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF2	OFJPA170721_44.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF3	OFJPA170721_46.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF4	OFJPA170721_48.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF1	OFJPA170721_50.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF2	OFJPA170721_52.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF3	OFJPA170721_54.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF4	OFJPA170721_56.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 1	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF1	OFJPA170721_58.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 2	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF2	OFJPA170721_60.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 3	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF3	OFJPA170721_62.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
secretome biological repeat 4	Mycobacterium smegmatis (strain atcc 700084 / mc(2)155)	not applicable	not applicable	none	not applicable	CF4	OFJPA170721_64.raw	culture filtrate	label free sample	trypsin	Orbitrap Fusion
