source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 11	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	11	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BC3_P026998_S00_X11_R1.raw	20 ppm	5 ppm	1	02444_BC3_P026998_S00_X11_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 12	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	12	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BD3_P026998_S00_X12_R1.raw	20 ppm	5 ppm	1	02444_BD3_P026998_S00_X12_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	13	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BE3_P026998_S00_X13_R1.raw	20 ppm	5 ppm	1	02444_BE3_P026998_S00_X13_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 14	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	14	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BF3_P026998_S00_X14_R1.raw	20 ppm	5 ppm	1	02444_BF3_P026998_S00_X14_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 15	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	15	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BG3_P026998_S00_X15_R1.raw	20 ppm	5 ppm	1	02444_BG3_P026998_S00_X15_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	16	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BH3_P026998_S00_X16_R1.raw	20 ppm	5 ppm	1	02444_BH3_P026998_S00_X16_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	17	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BA4_P026998_S00_X17_R1.raw	20 ppm	5 ppm	1	02444_BA4_P026998_S00_X17_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	18	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BB4_P026998_S00_X18_R1.raw	20 ppm	5 ppm	1	02444_BB4_P026998_S00_X18_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	19	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BC4_P026998_S00_X19_R1.raw	20 ppm	5 ppm	1	02444_BC4_P026998_S00_X19_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	20	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BD4_P026998_S00_X20_R1.raw	20 ppm	5 ppm	1	02444_BD4_P026998_S00_X20_R1.raw	flower
