source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	1	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BA2_P026998_S00_X01_R1.raw	20 ppm	5 ppm	1	02444_BA2_P026998_S00_X01_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	2	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BB2_P026998_S00_X02_R1.raw	20 ppm	5 ppm	1	02444_BB2_P026998_S00_X02_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	3	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BC2_P026998_S00_X03_R1.raw	20 ppm	5 ppm	1	02444_BC2_P026998_S00_X03_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	4	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BD2_P026998_S00_X04_R1.raw	20 ppm	5 ppm	1	02444_BD2_P026998_S00_X04_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	5	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BE2_P026998_S00_X05_R1.raw	20 ppm	5 ppm	1	02444_BE2_P026998_S00_X05_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	6	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BF2_P026998_S00_X06_R1.raw	20 ppm	5 ppm	1	02444_BF2_P026998_S00_X06_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	7	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BG2_P026998_S00_X07_R1.raw	20 ppm	5 ppm	1	02444_BG2_P026998_S00_X07_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	8	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BH2_P026998_S00_X08_R1.raw	20 ppm	5 ppm	1	02444_BH2_P026998_S00_X08_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	9	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BA3_P026998_S00_X09_R1.raw	20 ppm	5 ppm	1	02444_BA3_P026998_S00_X09_R1.raw	flower
PXD013868-Sample 1	Arabidopsis thaliana	flower	normal	plant cell	5W	no enrichment	1	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	AC=MS:1002038;NT=label free sample	10	Size-exclusion chromatography (SEC)	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/02444_BB3_P026998_S00_X10_R1.raw	20 ppm	5 ppm	1	02444_BB3_P026998_S00_X10_R1.raw	flower
