source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[compound]	characteristics[spiked compound]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[specimen storage state]	comment[label]	comment[analyte]	comment[scan polarity]	comment[matrix]	comment[data file]	comment[file uri]
sample 1	mus musculus	kidney	not applicable	not available	not available	PNGase F	not applicable	not applicable	not applicable	run 1	not applicable	AC=MS:1001544;NT=ultrafleXtreme	not applicable	paraffin specimen	AC=MS:1002038;NT=label free sample	N-glycans	positive	2,5-dihydroxybenzoic acid	png1 - no normalization.imzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD009808/png1%20-%20no%20normalization.imzML
sample 2	mus musculus	kidney	not applicable	not available	not available	PNGase F	not applicable	not applicable	not applicable	run 2	not applicable	AC=MS:1001544;NT=ultrafleXtreme	not applicable	paraffin specimen	AC=MS:1002038;NT=label free sample	N-glycans	positive	2,5-dihydroxybenzoic acid	png2 - no normalization.imzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD009808/png2%20-%20no%20normalization.imzML
sample 3	mus musculus	kidney	not applicable	not available	not available	none	not applicable	not applicable	not applicable	run 3	not applicable	AC=MS:1001544;NT=ultrafleXtreme	not applicable	paraffin specimen	AC=MS:1002038;NT=label free sample	N-glycans	positive	2,5-dihydroxybenzoic acid	control - no normalization.imzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD009808/control%20-%20no%20normalization.imzML
sample 4	mus musculus	kidney	not applicable	not available	not available	custom N-glycan standard	CT=other;CF=Man5GlcNAc2	CT=other;CF=Man5GlcNAc2	CT=other;CF=Man5GlcNAc2	run 4	not applicable	AC=MS:1001544;NT=ultrafleXtreme	not applicable	paraffin specimen	AC=MS:1002038;NT=label free sample	N-glycans	positive	2,5-dihydroxybenzoic acid	cal - no normalization.imzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD009808/cal%20-%20no%20normalization.imzML
