source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[age]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[sample type]	characteristics[sex]	characteristics[strain]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell line]
PXD006439-Sample-5	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	2	cell	run 21	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D1.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_D1.raw	B16-F10
PXD006439-Sample-5	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	2	cell	run 22	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	2	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D2.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_D2.raw	B16-F10
PXD006439-Sample-5	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	2	cell	run 23	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	3	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D3.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_D3.raw	B16-F10
PXD006439-Sample-5	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	2	cell	run 24	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	4	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D4.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_D4.raw	B16-F10
PXD006439-Sample-5	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	2	cell	run 25	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	5	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_D5.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_D5.raw	B16-F10
PXD006439-Sample-6	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	3	cell	run 26	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	1	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F1.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_F1.raw	B16-F10
PXD006439-Sample-6	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	3	cell	run 27	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	2	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F2.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_F2.raw	B16-F10
PXD006439-Sample-6	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	3	cell	run 28	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	3	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F3.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_F3.raw	B16-F10
PXD006439-Sample-6	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	3	cell	run 29	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	4	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F4.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_F4.raw	B16-F10
PXD006439-Sample-6	Mus musculus	skin	high metastatic potential	B16-F10	not available	not available	not available	Malignant	Cell Lysate	not available	C57BL/6J	3	cell	run 30	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	5	Data-Dependent Acquisition	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Any N-term;MT=Variable	AC=MS:1001313;NT=Trypsin	25% NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/06/PXD006439/QE2_160128_OPL4022_SCS_EVs_and_LYS_F5.raw	20 ppm	4.5 ppm	1	QE2_160128_OPL4022_SCS_EVs_and_LYS_F5.raw	B16-F10
