source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[geographic location]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[protein extraction method]	
PXD005969-Method1	PXD005969-Method1	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with ultrasonication	1	Xu_20161226_MetaproE_1_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161226_MetaproE_1_1.raw	SDS lysis with ultrasonication	
PXD005969-Method1	PXD005969-Method1	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with ultrasonication	2	Xu_20161226_MetaproE_1_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161226_MetaproE_1_2.raw	SDS lysis with ultrasonication	
PXD005969-Method1	PXD005969-Method1	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with ultrasonication	3	Xu_20161226_MetaproE_1_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161226_MetaproE_1_3.raw	SDS lysis with ultrasonication	
PXD005969-Method2	PXD005969-Method2	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with bead beating	1	Xu_20161229_MetaproE_2_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161229_MetaproE_2_1.raw	SDS lysis with bead beating	
PXD005969-Method2	PXD005969-Method2	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with bead beating	2	Xu_20161229_MetaproE_2_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161229_MetaproE_2_2.raw	SDS lysis with bead beating	
PXD005969-Method2	PXD005969-Method2	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with bead beating	3	Xu_20161229_MetaproE_2_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161229_MetaproE_2_3.raw	SDS lysis with bead beating	
PXD005969-Method3	PXD005969-Method3	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with bead beating	1	Xu_20161229_MetaproE_3_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161229_MetaproE_3_1.raw	urea lysis with bead beating	
PXD005969-Method3	PXD005969-Method3	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with bead beating	2	Xu_20161229_MetaproE_3_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161229_MetaproE_3_2.raw	urea lysis with bead beating	
PXD005969-Method3	PXD005969-Method3	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with bead beating	3	Xu_20161229_MetaproE_3_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161229_MetaproE_3_3.raw	urea lysis with bead beating	
PXD005969-Method6	PXD005969-Method6	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with ultrasonication	1	Xu_20161229_MetaproE_6_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161229_MetaproE_6_1.raw	urea lysis with ultrasonication	
