source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[water body type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[collection date]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[depth]
PXD009712-St3-500m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	500 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st3_500m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_500m_HCD.raw	500 m
PXD009712-St3-550m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	550 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_550m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_550m_CID.raw	550 m
PXD009712-St3-550m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	550 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_550m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_550m_HCD.raw	550 m
PXD009712-St3-600m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	600 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_600m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_600m_CID.raw	600 m
PXD009712-St3-600m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	600 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_600m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_600m_HCD.raw	600 m
PXD009712-St3-800m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	800 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_800m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_800m_CID.raw	800 m
PXD009712-St3-800m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	800 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_800m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_800m_HCD.raw	800 m
PXD009712-St5-20m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	20 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_020m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_020m_CID.raw	20 m
PXD009712-St5-20m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	20 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_020m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_020m_HCD.raw	20 m
PXD009712-St5-50m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	50 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_050m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_050m_CID.raw	50 m
PXD009712-St5-50m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	50 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_050m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_050m_HCD.raw	50 m
PXD009712-St5-80m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	80 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st5_080m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_080m_CID.raw	80 m
PXD009712-St5-80m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	80 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st5_080m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_080m_HCD.raw	80 m
PXD009712-St5-120m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st5_120m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_120m_CID.raw	120 m
PXD009712-St5-120m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st5_120m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_120m_HCD.raw	120 m
PXD009712-St5-200m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st5_200m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_200m_CID.raw	200 m
PXD009712-St5-200m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st5_200m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_200m_HCD.raw	200 m
PXD009712-St5-300m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	300 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_300m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_300m_CID.raw	300 m
PXD009712-St5-300m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	300 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_300m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_300m_HCD.raw	300 m
PXD009712-St5-400m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	400 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_400m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_400m_CID.raw	400 m
PXD009712-St5-400m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	400 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_400m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_400m_HCD.raw	400 m
PXD009712-St5-500m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	500 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_500m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st5_500m_CID.raw	500 m
PXD009712-St5-500m	marine metagenome	not applicable	seawater	Pacific Ocean	12.00N 165.00W	seawater	500 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st5_500m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st5_500m_HCD.raw	500 m
PXD009712-St6-40m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00N 167.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st6_040m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st6_040m_CID.raw	40 m
PXD009712-St6-40m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00N 167.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st6_040m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st6_040m_HCD.raw	40 m
PXD009712-St6-80m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00N 167.00W	seawater	80 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st6_080m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st6_080m_CID.raw	80 m
PXD009712-St6-80m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00N 167.00W	seawater	80 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st6_080m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st6_080m_HCD.raw	80 m
PXD009712-St6-200m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00N 167.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st6_200m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st6_200m_CID.raw	200 m
PXD009712-St6-200m	marine metagenome	not applicable	seawater	Pacific Ocean	8.00N 167.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st6_200m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st6_200m_HCD.raw	200 m
PXD009712-St8-40m	marine metagenome	not applicable	seawater	Pacific Ocean	3.00N 170.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st8_040m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st8_040m_CID.raw	40 m
PXD009712-St8-40m	marine metagenome	not applicable	seawater	Pacific Ocean	3.00N 170.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st8_040m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st8_040m_HCD.raw	40 m
PXD009712-St8-70m	marine metagenome	not applicable	seawater	Pacific Ocean	3.00N 170.00W	seawater	70 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st8_070m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st8_070m_CID.raw	70 m
PXD009712-St8-70m	marine metagenome	not applicable	seawater	Pacific Ocean	3.00N 170.00W	seawater	70 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st8_070m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st8_070m_HCD.raw	70 m
PXD009712-St8-200m	marine metagenome	not applicable	seawater	Pacific Ocean	3.00N 170.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st8_200m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st8_200m_CID.raw	200 m
PXD009712-St8-200m	marine metagenome	not applicable	seawater	Pacific Ocean	3.00N 170.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st8_200m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st8_200m_HCD.raw	200 m
PXD009712-St9-40m	marine metagenome	not applicable	seawater	Pacific Ocean	0.00 172.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st9_040m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st9_040m_CID.raw	40 m
PXD009712-St9-40m	marine metagenome	not applicable	seawater	Pacific Ocean	0.00 172.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st9_040m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st9_040m_HCD.raw	40 m
PXD009712-St9-70m	marine metagenome	not applicable	seawater	Pacific Ocean	0.00 172.00W	seawater	70 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st9_070m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st9_070m_CID.raw	70 m
PXD009712-St9-70m	marine metagenome	not applicable	seawater	Pacific Ocean	0.00 172.00W	seawater	70 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st9_070m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st9_070m_HCD.raw	70 m
PXD009712-St9-380m	marine metagenome	not applicable	seawater	Pacific Ocean	0.00 172.00W	seawater	380 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st9_380m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st9_380m_CID.raw	380 m
PXD009712-St9-380m	marine metagenome	not applicable	seawater	Pacific Ocean	0.00 172.00W	seawater	380 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st9_380m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st9_380m_HCD.raw	380 m
