source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[water body type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[collection date]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[depth]
PXD009712-St1-120m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_120m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_120m_CID.raw	120 m
PXD009712-St1-120m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_120m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_120m_HCD.raw	120 m
PXD009712-St1-200m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_200m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_200m_CID.raw	200 m
PXD009712-St1-200m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_200m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_200m_HCD.raw	200 m
PXD009712-St1-300m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	300 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st1_300m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_300m_CID.raw	300 m
PXD009712-St1-300m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	300 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st1_300m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_300m_HCD.raw	300 m
PXD009712-St1-400m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	400 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st1_400m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_400m_CID.raw	400 m
PXD009712-St1-400m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	400 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st1_400m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_400m_HCD.raw	400 m
PXD009712-St1-600m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	600 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_600m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st1_600m_CID.raw	600 m
PXD009712-St1-600m	marine metagenome	not applicable	seawater	Pacific Ocean	22.75N 158.00W	seawater	600 m	bathypelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st1_600m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st1_600m_HCD.raw	600 m
PXD009712-St3-40m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st3_040m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_040m_CID.raw	40 m
PXD009712-St3-40m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	40 m	epipelagic	2011-10	in situ filtration 0.2-3.0 um	1	st3_040m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_040m_HCD.raw	40 m
PXD009712-St3-60m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	60 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_060m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_060m_CID.raw	60 m
