source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[treatment]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	comment[data file]	factor value[treatment]
Sample 1	Mus musculus	blood plasma	none	not available	not available	not available	not available	not available	not available	NI	1	fluid	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT126	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_1_240m_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_1_240m_1pt5.raw	NI
Sample 2	Mus musculus	blood plasma	none	not available	not available	not available	not available	not available	not available	NI	1	fluid	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_1_240m_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_1_240m_1pt5.raw	NI
Sample 3	Mus musculus	blood plasma	none	not available	not available	not available	not available	not available	not available	d3 pi	1	fluid	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_1_240m_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_1_240m_1pt5.raw	d3 pi
Sample 4	Mus musculus	blood plasma	none	not available	not available	not available	not available	not available	not available	d3 pi	1	fluid	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_1_240m_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_1_240m_1pt5.raw	d3 pi
Sample 5	Mus musculus	blood plasma	experimental cerebral malaria	not available	not available	not available	not available	not available	not available	ECM	1	fluid	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT130	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_1_240m_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_1_240m_1pt5.raw	ECM
Sample 6	Mus musculus	blood plasma	experimental cerebral malaria	not available	not available	not available	not available	not available	not available	ECM	1	fluid	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT131	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_1_240m_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_1_240m_1pt5.raw	ECM
Sample 7	Mus musculus	blood plasma	experimental cerebral malaria	not available	not available	not available	not available	not available	not available	ECM	1	fluid	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT126	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_2_240min_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_2_240min_1pt5.raw	ECM
Sample 8	Mus musculus	blood plasma	experimental cerebral malaria	not available	not available	not available	not available	not available	not available	ECM	1	fluid	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT127	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_2_240min_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_2_240min_1pt5.raw	ECM
Sample 9	Mus musculus	blood plasma	none	not available	not available	not available	not available	not available	not available	NI	1	fluid	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT128	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_2_240min_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_2_240min_1pt5.raw	NI
Sample 10	Mus musculus	blood plasma	none	not available	not available	not available	not available	not available	not available	NI	1	fluid	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	TMT129	1	Data-Dependent Acquisition	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	AC=MS:1001251;NT=Trypsin	30 NCE	NT=HCD;AC=PRIDE:0000590	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003772/Natalia_TMT6_2_240min_1pt5.raw	0.05 Da	10 ppm	1	Natalia_TMT6_2_240min_1pt5.raw	NI
