source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD001859_MSB17191CTRLBand_01	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_01.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_02	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_02.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_03	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_03.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_04	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_04.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_05	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_05.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_06	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_06.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_07	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_07.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_08	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_08.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_09	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_09.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
PXD001859_MSB17191CTRLBand_10	Mus musculus	Tissue brush border membrane vesicles (BBMVs) from the ileum	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	MSB17191CTRLBand_10.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Fixed;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Fixed;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Fixed;TA=Q;MM=0.984016	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Acetyl;AC=UNIMOD:1;CF=C(2)H(2)O(1);MT=Variable;TA=N-term;MM=42.010565	NT=Gln->pyro-Glu;AC=UNIMOD:28;CF=H(-3)N(-1);MT=Variable;TA=Q;MM=-17.026549	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=N;MM=0.984016	NT=Deamidated;AC=UNIMOD:7;CF=H(-1)N(-1)O(1);MT=Variable;TA=Q;MM=0.984016
